date,snowlvl,precipaccumulation,airtempmax,airtempmin,airtempavg,precipincrement
2014-03-27,51.4,75.7,34,29,31,1.20
2014-03-28,53.0,76.9,35,31,33,1.30
2014-03-29,54.5,78.2,35,29,31,1.00
2014-03-30,55.4,79.2,35,25,29,0.40
2014-03-31,55.9,79.6,36,27,31,0.20
2014-04-01,56.0,79.8,34,27,31,0.10
2014-04-02,56.2,79.9,39,29,32,0.10
2014-04-03,56.3,80.0,38,29,33,0.10
2014-04-04,56.2,80.1,36,30,32,0.30
2014-04-05,56.7,80.4,35,31,33,1.10
2014-04-06,57.6,81.5,41,34,37,0.70
2014-04-07,57.5,82.2,59,34,46,0.00
2014-04-08,57.2,82.2,54,37,45,0.00
2014-04-09,56.6,82.2,44,29,36,0.20
2014-04-10,56.4,82.4,49,31,40,0.00
2014-04-11,56.2,82.4,51,32,42,0.00
2014-04-12,55.9,82.4,46,31,38,0.00
2014-04-13,55.5,82.4,46,35,40,0.00
2014-04-14,55.2,82.4,53,31,43,0.00
2014-04-15,54.8,82.4,37,27,31,0.00
2014-04-16,54.8,82.4,39,31,35,0.10
2014-04-17,54.7,82.5,38,29,35,0.70
2014-04-18,54.8,83.2,43,26,33,0.10
2014-04-19,55.0,83.3,41,31,35,0.40
2014-04-20,55.1,83.7,46,28,37,0.00
2014-04-21,55.1,83.7,52,33,41,0.40
2014-04-22,54.9,84.1,34,26,30,0.90
2014-04-23,55.8,85.0,35,28,32,1.30
2014-04-24,57.2,86.3,36,29,33,0.90
2014-04-25,58.2,87.2,36,27,30,0.30
2014-04-26,58.4,87.5,37,26,30,0.30
2014-04-27,58.8,87.8,31,27,29,1.40
2014-04-28,60.3,89.2,44,26,33,0.00
2014-04-29,60.2,89.2,51,34,43,0.00
2014-04-30,59.6,89.2,58,45,53,0.00
2014-05-01,58.5,89.2,69,48,57,0.00
2014-05-02,57.1,89.2,59,38,49,0.00
2014-05-03,56.4,89.2,41,33,36,0.30
2014-05-04,56.3,89.5,38,33,35,0.60
2014-05-05,56.5,90.1,40,31,34,0.40
2014-05-06,56.7,90.5,37,31,34,0.00
2014-05-07,56.7,90.5,50,28,38,0.00
2014-05-08,56.3,90.5,41,34,38,1.40
2014-05-09,56.7,91.9,34,30,32,1.40
2014-05-10,57.7,93.3,36,29,33,0.60
2014-05-11,58.6,93.9,48,31,38,0.00
2014-05-12,58.4,93.9,52,40,46,0.00
2014-05-13,57.8,93.9,64,43,52,0.00
2014-05-14,56.9,93.9,67,50,57,0.00
2014-05-15,55.6,93.9,68,47,57,0.00
2014-05-16,54.3,93.9,51,40,46,0.00
2014-05-17,53.1,93.9,48,38,42,0.10
2014-05-18,51.8,94.0,41,35,37,0.50
2014-05-19,51.2,94.5,47,35,39,0.00
2014-05-20,50.5,94.5,54,37,45,0.00
2014-05-21,49.4,94.5,55,39,47,0.00
2014-05-22,48.2,94.5,64,46,54,0.00
2014-05-23,46.8,94.5,53,41,47,0.00
2014-05-24,45.7,94.5,50,38,43,0.10
2014-05-25,44.4,94.6,53,40,45,0.00
2014-05-26,43.6,94.6,48,35,40,0.10
2014-05-27,42.5,94.7,46,34,38,0.00
2014-05-28,41.8,94.7,36,33,34,0.50
2014-05-29,42.2,95.2,50,34,40,0.00
2014-05-30,41.8,95.2,61,40,50,0.00
2014-05-31,40.3,95.2,54,40,48,0.00
2014-06-01,38.7,95.2,57,41,49,0.00
2014-06-02,37.3,95.2,61,44,52,0.00
2014-06-03,35.7,95.2,53,42,46,0.00
2014-06-04,34.0,95.2,57,42,50,0.00
2014-06-05,32.7,95.2,57,44,50,0.00
2014-06-06,31.1,95.2,59,42,51,0.00
2014-06-07,30.0,95.2,56,44,49,0.00
2014-06-08,28.3,95.2,60,42,51,0.00
2014-06-09,26.7,95.2,56,40,49,0.00
2014-06-10,25.0,95.2,54,39,46,0.00
2014-06-11,23.6,95.2,62,39,50,0.00
2014-06-12,22.2,95.2,51,36,43,0.70
2014-06-13,21.4,95.9,40,34,38,1.40
2014-06-14,20.6,97.3,42,33,37,0.10
2014-06-15,20.1,97.4,42,33,38,0.70
2014-06-16,19.5,98.1,35,32,34,0.80
2014-06-17,20.0,98.9,39,33,36,0.40
2014-06-18,20.5,99.3,51,36,43,0.00
2014-06-19,19.7,99.3,61,43,50,0.00
2014-06-20,17.8,99.3,46,40,43,0.00
2014-06-21,16.6,99.3,57,38,47,0.00
2014-06-22,15.3,99.3,64,44,54,0.00
2014-06-23,13.9,99.3,63,46,54,0.00
2014-06-24,12.3,99.3,53,44,48,0.00
2014-06-25,10.6,99.3,57,44,50,0.10
2014-06-26,9.7,99.4,50,44,47,0.80
2014-06-27,8.5,100.2,48,42,45,1.10
2014-06-28,7.3,101.3,49,41,45,0.00
2014-06-29,5.8,101.3,48,40,43,0.00
2014-06-30,4.2,101.3,65,41,54,0.00
2014-07-01,2.3,101.3,74,56,65,0.00
2014-07-02,0.8,101.3,68,52,59,0.00
2014-07-03,0.1,101.3,60,46,52,0.00
2014-07-04,0.0,101.3,65,48,57,0.00
2014-07-05,0.0,101.3,70,49,60,0.00
2014-07-06,0.0,101.3,70,55,61,0.00
2014-07-07,0.0,101.3,76,55,64,0.00
2014-07-08,0.0,101.3,77,58,66,0.00
2014-07-09,0.0,101.3,70,55,63,0.00
2014-07-10,0.0,101.3,71,56,63,0.00
2014-07-11,0.0,101.3,77,58,66,0.00
2014-07-12,0.0,101.3,80,61,71,0.00
2014-07-13,0.0,101.3,76,60,70,0.00
2014-07-14,0.0,101.3,73,59,66,0.00
2014-07-15,0.0,101.3,79,61,71,0.00
2014-07-16,0.0,101.3,77,60,69,0.00
2014-07-17,0.0,101.3,65,52,60,0.00
2014-07-18,0.0,101.3,67,46,57,0.00
2014-07-19,0.0,101.3,67,52,60,0.00
2014-07-20,0.0,101.3,57,42,51,0.40
2014-07-21,0.0,101.7,64,42,52,0.00
2014-07-22,0.0,101.7,58,51,54,0.00
2014-07-23,0.0,101.7,56,39,46,0.30
2014-07-24,0.0,102.0,48,38,42,0.00
2014-07-25,0.0,102.0,63,40,53,0.00
2014-07-26,0.0,102.0,69,50,60,0.00
2014-07-27,0.0,102.0,76,56,65,0.00
2014-07-28,0.0,102.0,78,60,68,0.00
2014-07-29,0.0,102.0,78,62,68,0.00
2014-07-30,0.0,102.0,76,62,69,0.00
2014-07-31,0.0,102.0,81,63,71,0.00
2014-08-01,0.0,102.0,78,60,69,0.00
2014-08-02,0.0,102.0,74,58,67,0.00
2014-08-03,0.0,102.0,76,59,68,0.00
2014-08-04,0.0,102.0,75,60,67,0.00
2014-08-05,0.0,102.0,67,53,60,0.20
2014-08-06,0.0,102.2,63,49,57,0.00
2014-08-07,0.0,102.2,65,49,56,0.00
2014-08-08,0.0,102.2,63,49,55,0.00
2014-08-09,0.0,102.2,71,51,61,0.00
2014-08-10,0.0,102.2,78,60,69,0.00
2014-08-11,0.0,102.2,80,63,71,0.00
2014-08-12,0.0,102.2,70,49,59,0.80
2014-08-13,0.0,103.0,58,47,52,0.00
2014-08-14,0.0,103.0,60,47,51,0.00
2014-08-15,0.0,103.0,58,47,52,0.00
2014-08-16,0.0,103.0,66,50,57,0.00
2014-08-17,0.0,103.0,68,54,60,0.00
2014-08-18,0.0,103.0,72,57,64,0.00
2014-08-19,0.0,103.0,64,50,58,0.00
2014-08-20,0.0,103.0,56,45,49,0.00
2014-08-21,0.0,103.0,59,43,51,0.00
2014-08-22,0.0,103.0,59,46,51,0.00
2014-08-23,0.0,103.0,63,47,54,0.00
2014-08-24,0.0,103.0,63,49,55,0.00
2014-08-25,0.0,103.0,67,52,57,0.00
2014-08-26,0.0,103.0,73,52,61,0.00
2014-08-27,0.0,103.0,70,57,62,0.00
2014-08-28,0.0,103.0,64,53,57,0.00
2014-08-29,0.0,103.0,60,48,52,0.10
2014-08-30,0.0,103.1,49,41,46,1.00
2014-08-31,0.0,104.1,49,41,44,0.00
2014-09-01,0.0,104.1,59,41,50,0.00
2014-09-02,0.0,104.1,55,38,47,0.00
2014-09-03,0.0,104.1,52,36,43,0.00
2014-09-04,0.0,104.1,58,45,52,0.00
2014-09-05,0.0,104.1,62,51,56,0.00
2014-09-06,0.0,104.1,68,55,60,0.00
2014-09-07,0.0,104.1,70,55,61,0.00
2014-09-08,0.0,104.1,62,46,54,0.00
2014-09-09,0.0,104.1,50,40,44,0.00
2014-09-10,0.0,104.1,62,42,50,0.00
2014-09-11,0.0,104.1,53,39,46,0.00
2014-09-12,0.0,104.1,65,48,54,0.00
2014-09-13,0.0,104.1,65,50,55,0.00
2014-09-14,0.0,104.1,69,49,58,0.00
2014-09-15,0.0,104.1,71,57,63,0.00
2014-09-16,0.0,104.1,67,55,60,0.00
2014-09-17,0.0,104.1,67,51,59,0.00
2014-09-18,0.0,104.1,56,47,50,0.00
2014-09-19,0.0,104.1,63,44,53,0.00
2014-09-20,0.0,104.1,67,53,61,0.00
2014-09-21,0.0,104.1,76,56,65,0.00
2014-09-22,0.0,104.1,63,54,57,0.00
2014-09-23,0.0,104.1,58,53,55,0.00
2014-09-24,0.0,104.1,54,43,46,0.90
2014-09-25,0.0,105.0,50,42,44,0.00
2014-09-26,0.0,105.0,51,41,44,0.00
2014-09-27,0.0,105.0,56,40,48,0.00
2014-09-28,0.0,105.0,61,46,52,0.00
2014-09-29,0.0,105.0,53,38,46,0.50
2014-09-30,0.0,105.5,41,37,39,1.00
2014-10-01,0.0,0.0,46,34,39,0.00
2014-10-02,0.0,0.0,57,41,48,0.00
2014-10-03,0.0,0.0,65,47,55,0.00
2014-10-04,0.0,0.0,67,54,59,0.00
2014-10-05,0.0,0.0,69,54,60,0.00
2014-10-06,0.0,0.0,70,56,62,0.00
2014-10-07,0.0,0.0,65,53,58,0.00
2014-10-08,0.0,0.0,58,48,52,0.00
2014-10-09,0.0,0.0,63,48,53,0.00
2014-10-10,0.0,0.0,59,47,52,0.00
2014-10-11,0.0,0.0,47,38,43,0.90
2014-10-12,0.0,0.9,47,38,42,0.00
2014-10-13,0.0,0.9,60,45,51,0.00
2014-10-14,0.0,0.9,46,38,40,0.70
2014-10-15,0.0,1.6,40,36,37,0.60
2014-10-16,0.0,2.2,48,35,42,0.00
2014-10-17,0.0,2.2,48,43,45,0.20
2014-10-18,0.0,2.4,54,45,48,0.00
2014-10-19,0.0,2.4,59,47,52,0.00
2014-10-20,0.0,2.4,49,38,42,0.80
2014-10-21,0.0,3.2,40,37,38,0.20
2014-10-22,0.0,3.4,45,39,43,1.00
2014-10-23,0.0,4.4,41,35,38,0.70
2014-10-24,0.0,5.1,46,35,39,0.10
2014-10-25,0.0,5.2,46,33,41,0.60
2014-10-26,0.2,5.8,34,32,33,1.60
2014-10-27,1.8,7.4,37,32,34,0.10
2014-10-28,1.7,7.5,44,36,40,0.50
2014-10-29,1.5,8.0,44,39,41,0.10
2014-10-30,1.0,8.1,48,41,44,1.00
2014-10-31,0.0,9.1,41,31,36,0.50
2014-11-01,0.0,9.6,34,30,32,0.20
2014-11-02,0.2,9.8,38,31,35,1.30
2014-11-03,0.6,11.1,40,38,40,0.50
2014-11-04,0.1,11.6,44,40,42,1.30
2014-11-05,0.0,12.9,51,40,47,0.00
2014-11-06,0.0,12.9,52,34,43,0.30
2014-11-07,0.0,13.2,45,31,37,0.10
2014-11-08,0.0,13.3,59,42,50,0.00
2014-11-09,0.0,13.3,51,31,38,1.10
2014-11-10,0.3,14.4,33,28,31,0.10
2014-11-11,0.3,14.5,29,16,22,0.00
2014-11-12,0.0,14.5,25,15,21,0.00
2014-11-13,0.1,14.5,30,19,23,1.30
2014-11-14,1.4,15.8,31,13,21,0.00
2014-11-15,1.3,15.8,25,11,18,0.00
2014-11-16,1.3,15.8,39,23,31,0.00
2014-11-17,1.4,15.8,42,29,35,0.00
2014-11-18,1.3,15.8,49,32,43,0.00
2014-11-19,1.3,15.8,45,35,40,0.10
2014-11-20,1.4,15.9,39,33,36,0.30
2014-11-21,1.4,16.2,44,34,36,2.10
2014-11-22,1.5,18.3,34,30,31,1.60
2014-11-23,3.1,19.9,34,31,32,1.50
2014-11-24,4.5,21.4,43,31,35,1.00
2014-11-25,5.4,22.4,43,40,42,1.90
2014-11-26,3.8,24.3,44,39,42,0.00
2014-11-27,3.3,24.3,44,38,40,0.70
2014-11-28,2.9,25.0,41,27,37,1.70
2014-11-29,2.6,26.7,27,14,21,0.60
2014-11-30,3.3,27.3,30,14,21,0.20
2014-12-01,3.3,27.5,34,26,31,0.20
2014-12-02,3.5,27.7,39,25,33,0.00
2014-12-03,3.5,27.7,37,31,34,0.20
2014-12-04,3.6,27.9,39,34,38,0.70
2014-12-05,3.7,28.6,40,36,38,0.20
2014-12-06,3.5,28.8,37,33,35,0.50
2014-12-07,3.6,29.3,42,34,38,0.00
2014-12-08,3.5,29.3,44,37,41,0.00
2014-12-09,3.3,29.3,43,40,42,0.20
2014-12-10,2.8,29.5,46,35,41,0.40
2014-12-11,2.4,29.9,40,33,37,0.10
2014-12-12,2.2,30.0,34,29,32,0.20
2014-12-13,2.4,30.2,33,26,30,0.30
2014-12-14,2.5,30.5,33,28,30,0.00
2014-12-15,2.5,30.5,32,27,29,0.00
2014-12-16,2.5,30.5,36,29,31,0.20
2014-12-17,2.6,30.7,36,31,33,0.10
2014-12-18,2.8,30.8,36,31,34,0.20
2014-12-19,3.1,31.0,35,30,31,0.60
2014-12-20,3.6,31.6,43,31,36,3.10
2014-12-21,4.6,34.7,42,33,35,3.00
2014-12-22,6.0,37.7,34,28,31,0.60
2014-12-23,6.2,38.3,40,30,38,0.40
2014-12-24,6.2,38.7,39,24,30,1.00
2014-12-25,7.0,39.7,28,26,27,0.80
2014-12-26,7.8,40.5,31,23,27,0.20
2014-12-27,7.8,40.7,32,26,30,1.80
2014-12-28,9.6,42.5,28,24,26,2.00
2014-12-29,11.6,44.5,24,10,19,0.10
2014-12-30,11.7,44.6,38,9,20,0.00
2014-12-31,12.1,44.6,42,22,29,0.00
2015-01-01,12.0,44.6,42,30,36,0.00
2015-01-02,11.9,44.6,39,28,34,0.00
2015-01-03,11.9,44.6,33,27,30,0.00
2015-01-04,11.9,44.6,37,31,33,1.80
2015-01-05,13.0,46.4,47,35,39,1.20
2015-01-06,12.7,47.6,54,46,49,0.00
2015-01-07,12.6,47.6,59,44,50,0.00
2015-01-08,12.5,47.6,54,42,48,0.00
2015-01-09,12.4,47.6,49,39,43,0.00
2015-01-10,12.2,47.6,42,34,38,0.20
2015-01-11,12.1,47.8,34,31,33,0.10
2015-01-12,12.3,47.9,37,30,33,0.10
2015-01-13,12.3,48.0,38,28,34,0.00
2015-01-14,12.4,48.0,40,31,35,0.00
2015-01-15,12.3,48.0,40,34,36,0.40
2015-01-16,12.5,48.4,36,27,32,0.90
2015-01-17,13.2,49.3,43,32,39,2.10
2015-01-18,13.5,51.4,41,31,33,1.20
2015-01-19,13.9,52.6,33,26,30,0.40
2015-01-20,14.1,53.0,33,26,30,0.00
2015-01-21,14.1,53.0,41,30,35,0.00
2015-01-22,14.1,53.0,40,36,38,0.00
2015-01-23,14.2,53.0,44,37,41,0.30
2015-01-24,14.4,53.3,50,42,45,0.40
2015-01-25,13.8,53.7,64,47,54,0.00
2015-01-26,13.7,53.7,55,45,51,0.00
2015-01-27,13.3,53.7,47,36,41,0.10
2015-01-28,13.1,53.8,44,34,38,0.00
2015-01-29,13.1,53.8,44,38,41,0.00
2015-01-30,13.0,53.8,49,36,42,0.00
2015-01-31,13.0,53.8,45,37,41,0.00
2015-02-01,12.9,53.8,43,30,37,0.60
2015-02-02,13.1,54.4,41,30,35,0.50
2015-02-03,12.9,54.9,35,31,33,0.30
2015-02-04,13.1,55.2,44,34,38,0.10
2015-02-05,13.2,55.3,45,39,42,0.10
2015-02-06,13.1,55.4,42,37,39,0.40
2015-02-07,12.8,55.8,39,34,37,0.90
2015-02-08,12.6,56.7,42,34,38,0.00
2015-02-09,12.4,56.7,40,33,35,1.20
2015-02-10,13.6,57.9,38,33,35,1.00
2015-02-11,14.0,58.9,46,36,40,0.00
2015-02-12,14.0,58.9,54,42,46,0.00
2015-02-13,13.8,58.9,55,42,47,0.00
2015-02-14,13.8,58.9,44,33,38,0.00
2015-02-15,13.8,58.9,43,34,38,0.00
2015-02-16,13.6,58.9,43,32,38,0.00
2015-02-17,13.5,58.9,45,35,40,0.00
2015-02-18,13.6,58.9,46,32,41,0.00
2015-02-19,13.6,58.9,39,32,35,0.10
2015-02-20,13.4,59.0,38,29,33,0.20
2015-02-21,13.7,59.2,35,24,29,0.00
2015-02-22,13.5,59.2,36,25,28,0.00
2015-02-23,13.4,59.2,42,28,36,0.00
2015-02-24,13.4,59.2,47,32,40,0.00
2015-02-25,13.2,59.2,36,30,32,0.30
2015-02-26,13.5,59.5,35,32,33,0.70
2015-02-27,14.2,60.2,38,28,32,0.60
2015-02-28,14.8,60.8,34,25,28,0.10
2015-03-01,14.7,60.9,42,25,32,0.00
2015-03-02,14.8,60.9,33,27,30,0.00
2015-03-03,14.7,60.9,37,20,28,0.00
2015-03-04,14.6,60.9,47,27,35,0.00
2015-03-05,14.4,60.9,48,36,41,0.00
2015-03-06,14.3,60.9,51,40,44,0.00
2015-03-07,14.2,60.9,55,40,46,0.00
2015-03-08,14.2,60.9,58,39,47,0.00
2015-03-09,14.2,60.9,53,42,46,0.00
2015-03-10,14.1,60.9,56,42,48,0.00
2015-03-11,14.1,60.9,42,36,39,0.40
2015-03-12,14.2,61.3,48,36,41,0.00
2015-03-13,14.0,61.3,52,42,47,0.00
2015-03-14,13.6,61.3,46,39,41,1.30
2015-03-15,13.0,62.6,41,31,37,1.00
2015-03-16,12.4,63.6,42,27,35,0.00
2015-03-17,12.3,63.6,39,33,36,0.20
2015-03-18,12.4,63.8,43,31,36,0.00
2015-03-19,12.4,63.8,51,37,44,0.00
2015-03-20,12.1,63.8,52,35,43,0.00
2015-03-21,11.8,63.8,39,31,34,0.30
2015-03-22,11.9,64.1,38,32,35,0.30
2015-03-23,11.9,64.4,32,29,30,0.70
2015-03-24,12.5,65.1,34,28,31,0.70
2015-03-25,13.3,65.8,41,34,37,0.50
2015-03-26,13.7,66.3,59,36,48,0.00
2015-03-27,13.6,66.3,58,33,48,0.30
2015-03-28,13.3,66.6,38,31,34,0.80
2015-03-29,13.8,67.4,49,33,41,0.00
2015-03-30,13.7,67.4,56,37,45,0.00
2015-03-31,13.7,67.4,37,27,31,1.40
2015-04-01,14.9,68.8,35,26,29,0.50
2015-04-02,15.5,69.3,36,25,29,0.20
2015-04-03,15.7,69.5,36,25,29,0.10
2015-04-04,15.8,69.6,37,23,29,0.10
2015-04-05,16.0,69.7,40,28,31,0.50
2015-04-06,16.4,70.2,37,25,30,0.10
2015-04-07,16.5,70.3,39,31,33,0.20
2015-04-08,16.6,70.5,36,28,33,0.40
2015-04-09,17.0,70.9,45,28,35,0.00
2015-04-10,17.0,70.9,43,31,37,0.00
2015-04-11,16.9,70.9,32,26,29,1.00
2015-04-12,17.9,71.9,38,25,32,0.00
2015-04-13,18.0,71.9,43,24,35,0.30
2015-04-14,18.2,72.2,32,23,26,1.00
2015-04-15,19.6,73.2,35,22,30,0.00
2015-04-16,19.7,73.2,54,31,42,0.00
2015-04-17,19.4,73.2,58,39,47,0.00
2015-04-18,18.9,73.2,58,39,48,0.00
2015-04-19,18.6,73.2,60,41,49,0.00
2015-04-20,18.3,73.2,61,44,51,0.00
2015-04-21,17.8,73.2,51,26,41,0.20
2015-04-22,17.4,73.4,41,25,31,0.00
2015-04-23,17.2,73.4,36,29,32,0.50
2015-04-24,17.6,73.9,34,27,30,0.70
2015-04-25,18.3,74.6,37,29,32,0.30
2015-04-26,18.7,74.9,41,28,35,0.00
2015-04-27,18.7,74.9,59,39,49,0.00
2015-04-28,18.0,74.9,54,33,43,0.00
2015-04-29,17.2,74.9,42,28,34,0.00
2015-04-30,16.8,74.9,56,32,45,0.00
2015-05-01,16.4,74.9,58,42,50,0.00
2015-05-02,15.5,74.9,55,37,46,0.00
2015-05-03,14.7,74.9,59,39,48,0.00
2015-05-04,13.9,74.9,53,33,43,0.00
2015-05-05,13.0,74.9,39,30,33,0.50
2015-05-06,13.1,75.4,37,29,32,0.40
2015-05-07,13.6,75.8,49,32,40,0.00
2015-05-08,13.3,75.8,58,40,48,0.00
2015-05-09,12.2,75.8,61,42,50,0.00
2015-05-10,11.3,75.8,59,40,48,0.00
2015-05-11,10.2,75.8,40,33,36,0.90
2015-05-12,10.1,76.7,38,32,34,0.40
2015-05-13,10.3,77.1,42,33,36,0.20
2015-05-14,10.2,77.3,46,36,40,0.30
2015-05-15,9.9,77.6,42,36,38,0.10
2015-05-16,9.6,77.7,40,35,37,0.00
2015-05-17,8.7,77.7,54,35,44,0.00
2015-05-18,7.8,77.7,56,41,47,0.00
2015-05-19,6.6,77.7,52,41,46,0.00
2015-05-20,5.7,77.7,56,45,51,0.00
2015-05-21,4.2,77.7,54,45,49,0.40
2015-05-22,2.9,78.1,48,40,44,0.10
2015-05-23,1.6,78.2,47,38,42,0.00
2015-05-24,0.6,78.2,53,39,44,0.00
2015-05-25,0.2,78.2,53,39,44,0.00
2015-05-26,0.0,78.2,54,38,45,0.00
2015-05-27,0.0,78.2,59,42,50,0.00
2015-05-28,0.0,78.2,67,48,56,0.00
2015-05-29,0.0,78.2,69,51,59,0.00
2015-05-30,0.0,78.2,65,48,56,0.00
2015-05-31,0.0,78.2,69,53,59,0.00
2015-06-01,0.0,78.2,54,39,46,0.50
2015-06-02,0.0,78.7,44,38,39,0.40
2015-06-03,0.0,79.1,47,38,41,0.00
2015-06-04,0.0,79.1,57,36,46,0.00
2015-06-05,0.0,79.1,64,48,56,0.00
2015-06-06,0.0,79.1,72,52,61,0.00
2015-06-07,0.0,79.1,76,57,67,0.00
2015-06-08,0.0,79.1,80,62,70,0.00
2015-06-09,0.0,79.1,71,55,63,0.00
2015-06-10,0.0,79.1,63,47,55,0.00
2015-06-11,0.0,79.1,68,45,56,0.00
2015-06-12,0.0,79.1,56,41,48,0.00
2015-06-13,0.0,79.1,59,41,49,0.00
2015-06-14,0.0,79.1,63,45,55,0.00
2015-06-15,0.0,79.1,70,52,59,0.00
2015-06-16,0.0,79.1,64,48,56,0.00
2015-06-17,0.0,79.1,65,47,56,0.00
2015-06-18,0.0,79.1,63,44,54,0.00
2015-06-19,0.0,79.1,54,40,46,0.00
2015-06-20,0.0,79.1,63,42,53,0.00
2015-06-21,0.0,79.1,63,47,55,0.00
2015-06-22,0.0,79.1,62,46,53,0.00
2015-06-23,0.0,79.1,64,42,54,0.00
2015-06-24,0.0,79.1,65,50,57,0.00
2015-06-25,0.0,79.1,75,52,64,0.00
2015-06-26,0.0,79.1,85,61,73,0.00
2015-06-27,0.0,79.1,84,68,76,0.00
2015-06-28,0.0,79.1,78,58,69,0.00
2015-06-29,0.0,79.1,71,56,65,0.00
2015-06-30,0.0,79.1,73,55,64,0.00
2015-07-01,0.0,79.1,82,58,69,0.00
2015-07-02,0.0,79.1,80,58,69,0.00
2015-07-03,0.0,79.1,75,60,67,0.00
2015-07-04,0.0,79.1,75,58,65,0.00
2015-07-05,0.0,79.1,77,57,66,0.00
2015-07-06,0.0,79.1,75,59,65,0.00
2015-07-07,0.0,79.1,72,57,63,0.00
2015-07-08,0.0,79.1,76,57,65,0.00
2015-07-09,0.0,79.1,73,53,64,0.00
2015-07-10,0.0,79.1,62,48,54,0.00
